companyname,modelname,rating,corecount,clockspeed,source
TSMC,A19 Pro,98,6,4260,https://nanoreview.net/en/soc/apple-a19-pro
TSMC,A19,97,6,4260,https://nanoreview.net/en/soc/apple-a19
TSMC,A19 Pro,98,6,4260,https://nanoreview.net/en/soc/apple-a19-pro
TSMC,A19 Pro,98,6,4260,https://nanoreview.net/en/soc/apple-a19-pro
,,,,,
Smasung,Exynos 2400,87,10,3210,https://nanoreview.net/en/soc/samsung-exynos-2400
TSMC,Helio G99,33,8,2200,https://nanoreview.net/en/soc/mediatek-helio-g99
Smasung,Exynos 133-,34,8,2400,https://nanoreview.net/en/soc/samsung-exynos-1330
TSMC,Snapdragon 8 Elite (Gen 4),98,8,4320,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-4
,,,,,
Smasung,Snapdragon 6 Gen 3,43,8,2400,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-3
TSMC,Snapdragon 8 Elite (Gen 4),98,8,4320,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-4
TSMC,Snapdragon 8 Gen 3,92,8,3300,https://nanoreview.net/en/soc/qualcomm-snapdragon-8-gen-3
Smasung,Snapdragon 6 Gen 1,40,8,2200,https://nanoreview.net/en/soc/qualcomm-snapdragon-6-gen-1
,,,,,
TSMC,Dimensity 6300,35,8,2400,https://nanoreview.net/en/soc/mediatek-dimensity-6300
Smasung,Snapdragon 7s Gen 2,42,8,2400,https://nanoreview.net/en/soc/qualcomm-snapdragon-7s-gen-2
TSMC,Snapdragon 7 Gen 3,50,8,2630,https://nanoreview.net/en/soc/qualcomm-snapdragon-7-gen-3
TSMC,Snapdragon 695 5G,35,8,2200,https://nanoreview.net/en/soc/qualcomm-snapdragon-695
,,,,,
TSMC,Google Tensor G5,71,8,3780,https://nanoreview.net/en/soc/google-tensor-g5
TSMC,Google Tensor G5,71,8,3780,https://nanoreview.net/en/soc/google-tensor-g5
TSMC,Google Tensor G5,71,8,3780,https://nanoreview.net/en/soc/google-tensor-g5
Smasung,Google Tensor G4,72,8,3100,https://nanoreview.net/en/soc/google-tensor-g4
,,,,,
TSMC,Snapdragon 778G+ 5G,43,8,2500,https://nanoreview.net/en/soc/qualcomm-snapdragon-778g-plus
TSMC,Dimensity 7200 Pro,46,8,2800,https://nanoreview.net/en/soc/mediatek-dimensity-7200
TSMC,Snapdragon 8+ Gen 1,70,8,3200,https://nanoreview.net/en/soc/snapdragon-8-plus-gen-1
TSMC,Snapdragon 7s Gen 3,50,8,2500,https://nanoreview.net/en/soc/qualcomm-snapdragon-7s-gen-3
